domain,career_link
loom.com,https://loom.com/careers
loom.com,https://loom.com/careers/jobs
loom.com,https://loom.com/jobs
vercel.com,https://vercel.com/jobs
vercel.com,https://vercel.com/frameworks/nextjs
vercel.com,https://vercel.com/about/careers
vercel.com,https://vercel.com/careers/jobs
vercel.com,https://vercel.com/careers
vercel.com,https://vercel.com/careers/open-positions
hashicorp.com,https://hashicorp.com/careers/jobs
hashicorp.com,https://hashicorp.com/jobs
hashicorp.com,https://hashicorp.com/about/careers
hashicorp.com,https://hashicorp.com/careers
hashicorp.com,https://hashicorp.com/careers/open-positions
hashicorp.com,https://hashicorp.com/en/careers
mongodb.com,https://mongodb.com/careers/open-positions
mongodb.com,https://cloud.mongodb.com/ecosystem/fireworks-ai
mongodb.com,https://www.mongodb.com/company/careers
mongodb.com,https://mongodb.com/careers
mongodb.com,https://mongodb.com/careers/jobs
mongodb.com,https://www.mongodb.com/careers
mongodb.com,https://mongodb.com/about/careers
mongodb.com,https://mongodb.com/jobs
monday.com,https://monday.com/workdocs
monday.com,https://monday.com/academy/view/certification/work-management-core-certification
monday.com,https://monday.com/careers
monday.com,https://monday.com/careers/jobs
monday.com,https://monday.com/w/work-management
monday.com,https://monday.com/about/careers
monday.com,https://monday.com/careers/open-positions
monday.com,https://monday.com/jobs
monday.com,https://monday.com/work-management/pmo
monday.com,https://monday.com/work-management/marketing
databricks.com,https://databricks.com/careers/open-positions
databricks.com,https://databricks.com/careers/jobs
databricks.com,https://www.databricks.com/company/careers
databricks.com,https://databricks.com/jobs
databricks.com,https://databricks.com/about/careers
databricks.com,https://databricks.com/careers
databricks.com,https://databricks.com/company/careers
databricks.com,https://databricks.com/company/careers/open-positions
atlassian.com,https://atlassian.com/system-of-work
atlassian.com,https://atlassian.com/careers/jobs
atlassian.com,https://atlassian.com/jobs
atlassian.com,https://atlassian.com/about/careers
atlassian.com,https://atlassian.com/careers/open-positions
atlassian.com,https://atlassian.com/work-management/project-management
atlassian.com,https://atlassian.com/careers
atlassian.com,https://atlassian.com/work-management/project-collaboration
atlassian.com,https://atlassian.com/collections/teamwork
atlassian.com,https://atlassian.com/company/careers
asana.com,https://asana.com/careers
asana.com,https://asana.com/about/careers
asana.com,https://asana.com/resources/forrester-wave-collaborative-work-management-2025
asana.com,https://resources.asana.com/driving-real-results-AI-work-management.html?utm_source=web_banner&utm_medium=website&utm_campaign=for26&utm_content=inline
asana.com,https://asana.com/resources/forrester-wave-collaborative-work-management-2022
asana.com,https://asana.com/resources/gartner-magic-quadrant-collaborative-work-management-2024
asana.com,https://asana.com/careers/open-positions
asana.com,https://asana.com/careers/jobs
asana.com,https://asana.com/features/workflow-automation
asana.com,https://asana.com/jobs
clickup.com,https://clickup.com/about/careers
clickup.com,https://clickup.com/careers/jobs
clickup.com,https://help.clickup.com/hc/en-us/articles/6328033402007-How-to-Add-Proofing-to-Your-Workflow
clickup.com,https://clickup.com/careers
clickup.com,https://help.clickup.com/hc/en-us/articles/6310449699735-Use-Workload-view
clickup.com,https://clickup.com/careers/open-positions
clickup.com,https://clickup.com/jobs
freshworks.com,https://www.freshworks.com/freshdesk/omni/
freshworks.com,https://freshworks.com/about/careers
freshworks.com,https://freshworks.com/careers/jobs
freshworks.com,https://www.freshworks.com/live-chat-software/
freshworks.com,https://www.freshworks.com/jp/
freshworks.com,https://www.freshworks.com/freshservice/msp/
freshworks.com,https://www.freshworks.com/freddy-ai/
freshworks.com,https://www.freshworks.com/de/
freshworks.com,https://www.freshworks.com/company/about/
freshworks.com,https://www.freshworks.com/resources/ai-empowered-cio-strategies/
freshworks.com,https://www.freshworks.com/privacy/ccpa-requests/
freshworks.com,https://www.freshworks.com/es/
freshworks.com,https://www.freshworks.com/resources/customer-service-benchmark-report-2025/
freshworks.com,https://www.freshworks.com/freshservice/product-updates/
freshworks.com,https://www.freshworks.com/cn/
freshworks.com,https://www.freshworks.com/partners/
freshworks.com,https://freshworks.com/jobs
freshworks.com,https://ir.freshworks.com/
freshworks.com,https://www.freshworks.com/vi/
freshworks.com,https://www.freshworks.com/product-launches/
freshworks.com,https://login.freshworks.com/email-login/
